#
# SED templates.  MS (main sequence star forming at z=0.5) and starburst are from '
# Magdis et al. 2012. The 70% AGN tempate is from Ciesla 2015
#
#  Wave (um)   Flux_MS (mJy)  Flux_Burst (mJy)   Flux AGN (mJy)
      92.0400       223.64353       652.67689       55.847491
      92.9000       225.33150       650.76964       55.804819
      93.7600       226.95026       648.49596       55.604876
      94.6200       228.51156       645.86323       55.264579
      95.5000       230.01536       643.22307       54.916319
      96.3800       231.46168       640.58293       54.573255
      97.2700       232.79303       637.58374       54.231418
      98.1700       234.11266       634.21057       53.894026
      99.0800       235.31736       630.84492       53.665423
      100.000       236.53377       627.47919       53.496024
      100.900       237.62354       623.74712       53.332276
      101.900       238.64403       620.02247       53.152678
      102.800       239.61881       616.29033       52.968846
      103.800       240.53613       612.19920       52.691313
      104.700       241.32674       608.11551       52.429807
      105.700       242.12907       604.02433       52.143654
      106.700       242.80471       599.94065       51.861719
      107.600       243.48039       595.49803       51.617696
      108.600       244.11030       591.05529       51.371422
      109.600       244.61351       586.62011       51.134310
      110.700       245.11674       581.81844       50.877127
      111.700       245.56250       577.39074       50.644025
      112.700       246.01995       572.59650       50.394083
      113.800       246.40821       567.80979       50.120301
      114.800       246.73903       563.39701       49.874765
      115.900       247.08156       558.62533       49.608314
      116.900       247.35486       553.85350       49.367418
      118.000       247.63989       549.08921       49.068720
      119.100       247.79827       544.33245       48.745994
      120.200       248.02584       539.57562       48.428094
      121.300       248.19589       534.83377       48.140270
      122.500       248.30850       530.09192       47.903239
      123.600       248.47860       525.35755       47.688845
      124.700       248.64868       520.99717       47.477222
      125.900       248.83048       516.27771       47.249902
      127.100       249.01230       511.93227       46.921545
      128.200       249.25162       507.59436       46.480517
      129.400       249.43343       503.26388       45.987108
      130.600       249.61524       498.94084       45.503924
      131.800       249.86629       494.62535       45.029791
      133.000       249.99060       490.30975       44.455663
      134.300       250.00000       485.99424       43.793850
      135.500       249.89677       481.31226       43.196601
      136.800       249.49211       476.61532       42.563983
      138.000       248.78828       471.17789       41.988582
      139.300       247.60938       464.98503       41.265406
      140.600       246.07159       458.41079       40.558255
      141.900       244.11733       451.08862       39.868742
      143.200       241.86515       443.75888       39.197599
      144.500       239.37718       435.68881       38.557041
      145.900       236.71209       427.98521       37.896758
      147.200       233.93202       419.92257       37.298600
      148.600       231.09570       411.85992       36.671485
      150.000       228.26166       404.17124       36.055828
      151.400       225.43120       396.49752       35.435217
      152.800       222.66169       388.83128       34.822443
      154.200       219.83827       381.17253       34.227496
      155.600       217.07581       373.99772       33.647314
      157.000       214.37554       366.79367       33.107771
      158.500       211.67760       359.74379       32.573800
      160.000       208.98318       352.81122       32.057241
      161.400       206.34977       345.99615       31.586218
      162.900       203.66121       339.29846       31.088889
      164.400       201.03368       332.71823       30.536033
      166.000       198.40727       326.21875       29.953139
      167.500       195.78441       319.82924       29.420886
      169.000       193.22139       313.55715       28.902262
      170.600       190.66067       307.36583       28.350561
      172.200       188.04488       301.25525       27.769126
      173.800       185.48886       295.26213       27.267518
      175.400       182.93403       289.34232       26.891948
      177.000       180.38154       283.50323       26.516724
      178.600       177.83142       277.73750       26.141847
      180.300       175.28245       272.05254       25.767140
      182.000       172.73702       266.48498       25.392952
      183.700       170.19158       260.95407       25.018764
      185.400       167.70713       255.54058       24.653540
      187.100       165.16637       250.20787       24.280040
      188.800       162.68427       244.94845       23.915163
      190.500       160.14704       239.76982       23.542180
      192.300       157.66848       234.62785       23.177824
      194.100       155.19224       229.60106       22.813808
      195.900       152.71835       224.65204       22.450137
      197.700       150.24563       219.78078       22.086638
      199.500       147.83158       214.98660       21.731764
      201.400       145.36236       210.26866       21.368781
      203.200       142.95183       205.59191       21.014424
      205.100       140.54362       201.02881       20.660408
      207.000       138.19408       196.54201       20.315018
      208.900       135.78940       192.09559       19.961521
      210.900       133.44336       187.76287       19.616645
      212.800       131.09852       183.46977       19.271945
      214.800       128.75599       179.29036       18.927585
      216.800       126.47332       175.15134       18.592025
      218.800       124.13315       171.08787       18.248011
      220.800       121.85279       167.10143       17.912791
      222.800       119.63230       163.19130       17.586370
      224.900       117.41294       159.35817       17.260116
      227.000       115.19477       155.60059       16.934039
      229.100       113.03642       151.88340       16.616753
      231.200       110.87925       148.27840       16.299642
      233.300       108.72324       144.71378       15.982700
      235.500       106.62707       141.22471       15.674555
      237.700       104.53205       137.81193       15.366580
      239.900       102.43823       134.43804       15.058782
      242.100       100.34557       131.10230       14.751153
      244.300       98.252914       127.80544       14.443525
      246.600       96.218912       124.54674       14.144520
      248.900       94.186075       121.36356       13.845686
